"Hoekstra  Peter",547,29361
"Holden  Tim",550,29396
"Holt  Rush D.",1580,29923
"Hooley  Darlene",1491,29750
"Horn  Stephen",559,29320
"Hostettler  John N.",562,29520
"Houghton  Amo",563,15423
"Hoyer  Steny H.",566,14873
"Hulshof  Kenny C.",1492,29737
"Hunter  Duncan",575,14835
"Hutchinson  Asa",1493,29704
"Hyde  Henry J.",580,14239
"Inslee  Jay",584,29937
"Isakson  Johnny",1608,29909
"Istook  Ernest J.  Jr.",586,29392
"Jackson  Jesse L.  Jr.",587,29585
"Jackson-Lee  Sheila",588,29573
"Jefferson  William J.",592,29120
"Jenkins  William L.",1494,29755
"John  Christopher",1495,29727
"Johnson  Eddie Bernice",599,39305
"Johnson  Nancy L.",602,15028
"Johnson  Sam",603,29143
"Jones  Stephanie Tubbs",1581,29930
"Jones  Walter B.  Jr.",612,29546
"Kanjorski  Paul E.",615,15104
"Kaptur  Marcy",616,15029
"Kasich  John R.",618,15030
"Kelly  Sue W.",624,29544
"Kennedy  Patrick J.",627,29564
"Kildee  Dale E.",631,14430
"Kilpatrick  Carolyn C.",1497,29733
"Kind  Ron",1498,29769
"King  Peter T.",635,29375
"Kingston  Jack",636,29338
"Kleczka  Gerald D.",637,15082
"Klink  Ron",639,29395
"Knollenberg  Joe",642,29365
"Kolbe  Jim",645,15105
"Kucinich  Dennis J.",1499,29748
"Kuykendall  Steven T.",1582,29904
"LaFalce  John J.",657,14248
"LaHood  Ray",659,29517
"Lampson  Nick",1500,29761
"Lantos  Tom",663,14837
"Largent  Steve",664,29554
"Larson  John B.",1583,29908
"Latham  Tom",666,29522
"LaTourette  Steven C.",667,29553
"Lazio  Rick",670,29374
"Leach  James A.",672,14432
"Lee  Barbara",1501,29778
"Levin  Sander M.",683,15033
"Lewis  Jerry",687,14644
"Lewis  John",688,15431
"Lewis  Ron",689,29352
"Linder  John",693,29341
"Lipinski  William O.",694,15036
"Livingston  Bob",696,14469
"LoBiondo  Frank A.",699,29539
"Lofgren  Zoe",701,29504
"Lowey  Nita M.",709,15612
"Lucas  Frank D.",711,29393
"Lucas  Ken",1562,29916
"Luther  Bill",718,29533
"Maloney  Carolyn B.",729,29379
"Maloney  James H.",1502,29712
"Manzullo  Donald A.",733,29349
"Markey  Edward J.",735,14435
"Martinez  Matthew G.",743,14879
"Mascara  Frank",745,29562
"Matsui  Robert T.",748,14649
"McCarthy  Carolyn",1503,29744
"McCarthy  Karen",756,29535
"McCollum  Bill",761,14842
"McCrery  Jim",763,15451
"McDermott  Jim",766,15613
"McGovern  James P.",1504,29729
"McHugh  John M.",773,39316
"McInnis  Scott",775,29326
"McIntosh  David M.",776,29518
"McIntyre  Mike",1505,29746
"McKeon  Howard P. Buck",778,29315
"McKinney  Cynthia A.",780,29344
"McNulty  Michael R.",785,15614
"Meehan  Martin T.",788,29358
"Meek  Carrie P.",789,29334
"Meeks  Gregory W.",1506,29776
"Menendez  Robert",791,29373
"Metcalf  Jack",792,29578
"Mica  John L.",800,29331
"Millender-McDonald  Juanita",805,29586
"Miller  Dan",807,29333
"Miller  Gary",1584,29905
"Miller  George",808,14256
"Minge  David",813,29366
"Mink  Patsy T.",815,10757
"Moakley  John Joseph",820,14039
"Mollohan  Alan B.",824,15083
"Moore  Dennis",1561,29915
"Moran  James P.",832,29149
"Moran  Jerry",1507,29722
"Morella  Constance A.",833,15434
"Murtha  John P.",844,14072
"Myrick  Sue Wilkins",849,29549
"Nadler  Jerrold",850,29377
"Napolitano  Grace F.",1602,29903
"Neal  Richard E.",854,15616
"Nethercutt  George R.  Jr.",860,29581
"Ney  Robert W.",862,29552
"Northup  Anne M.",1508,29725
"Norton  Eleanor Holmes",868,NA3
"Norwood  Charles W.",869,29513
"Nussle  Jim",871,29118
"Oberstar  James L.",876,14265
"Obey  David R.",877,12036
"Olver  John W.",879,29123
"Ortiz  Solomon P.",880,15049
"Ose  Doug",1585,29902
"Owens  Major R.",883,15050
"Oxley  Michael G.",885,14875
"Packard  Ron",886,15051
"Pallone  Frank  Jr.",887,15454
"Pascrell  Bill  Jr.",1510,29741
"Pastor  Ed",893,29101
"Paul  Ron",900,14290
"Payne  Donald M.",902,15619
"Pease  Edward A.",1511,29719
"Pelosi  Nancy",905,15448
"Peterson  Collin C.",910,29127
"Peterson  John E.",1512,29751
"Petri  Thomas E.",912,14675
"Phelps  David D.",1586,29913
"Pickering  Charles W. Chip",1513,29734
"Pickett  Owen B.",916,15437
"Pitts  Joseph R.",1514,29752
"Pombo  Richard W.",921,29311
"Pomeroy  Earl",922,29384
"Porter  John Edward",923,14677
"Portman  Rob",924,29386
"Price  David E.",930,15438
"Pryce  Deborah",933,29390
"Quinn  Jack",938,29381
"Radanovich  George",939,29505
"Rahall  Nick J.  II",940,14448
"Ramstad  Jim",942,29126
"Rangel  Charles B.",944,13035
"Regula  Ralph",951,14045
"Reyes  Silvestre",1516,29764
"Reynolds  Thomas M.",1587,29928
"Riley  Bob",1517,29700
"Rivers  Lynn N.",966,29531
"Rodriguez  Ciro D.",1518,29771
"Roemer  Tim",976,29117
"Rogan  James E.",1519,29708
"Rogers  Harold",977,14854
"Rohrabacher  Dana",979,15621
"Romero-Barcelo  Carlos A.",980,NA4
"Ros-Lehtinen  Ileana",985,15634
"Rothman  Steven R.",1520,29742
"Roukema  Marge",990,14855
"Roybal-Allard  Lucille",997,29317
"Royce  Edward R.",998,29321
"Rush  Bobby L.",1003,29346
"Ryan  Paul",1560,29939
"Ryun  Jim",1521,29723
"Sabo  Martin Olav",1007,14656
"Salmon  Matt",1009,29500
"Sanchez  Loretta",1522,29709
"Sanders  Bernard",1010,29147
"Sandlin  Max",1523,29757
"Sanford  Marshall (Mark)",1012,29565
"Sawyer  Tom",1022,15442
"Saxton  Jim",1023,15112
"Scarborough  Joe",1025,39508
"Schaffer  Bob",1524,29711
"Schakowsky  Janice D.",1588,29911
"Scott  Robert C.",1037,39307
"Sensenbrenner   James  Jr.",1041,14657
"Serrano  Jose E.",1042,29134
"Sessions  Pete",1525,29759
"Shadegg  John B.",1043,29501
"Shaw  E. Clay  Jr.",1047,14860
"Shays  Christopher",1048,15449
"Sherman  Brad",1526,29707
"Sherwood  Don",1589,29933
"Shimkus  John",1527,29718
"Shows  Ronnie",1565,29920
"Shuster  Bud",1055,14052
"Simpson  Michael K.",1590,29910
"Sisisky  Norman",1060,15060
"Skeen  Joe",1063,14861
"Skelton  Ike",1064,14451
"Slaughter  Louise McIntosh",1069,15444
"Smith  Adam",1528,29768
"Smith  Christopher H.",1071,14863
"Smith  Lamar",1075,15445
"Smith  Nick",1080,29364
"Snyder  Vic",1530,29703
"Souder  Mark E.",1089,29519
"Spence  Floyd",1091,13042
"Spratt  John M.  Jr.",1092,15064
"Stabenow  Debbie",1531,29732
"Stark  Fortney Pete",1101,14053
"Stearns  Cliff",1103,15627
"Stenholm  Charles W.",1110,14664
"Strickland  Ted",1118,29747
"Stump  Bob",1122,14454
"Stupak  Bart",1123,29360
"Sununu  John E.",1532,29740
"Sweeney  John E.",1591,29927
"Talent  Jim",1135,29369
"Tancredo  Thomas G.",1592,29907
"Tanner  John S.",1137,15628
"Tauscher  Ellen O.",1533,29705
"Tauzin  W. J. (Billy)",1140,94679
"Taylor  Charles H.",1141,29135
"Taylor  Gene",1142,15637
"Terry  Lee",1566,29921
"Thomas  William M.",1148,14669
"Thompson  Bennie G.",1151,29368
"Thompson  Mike",1593,29901
"Thornberry  Mac",1155,29572
"Thune  John R.",1534,29754
"Thurman  Karen L.",1157,29330
"Tiahrt  Todd",1158,29524
"Tierney  John F.",1535,29730
"Toomey  Patrick J.",1594,29935
"Towns  Edolphus",1165,15072
"Traficant  James A.  Jr.",1166,15121
"Turner  Jim",1536,29758
"Udall  Mark",1595,29906
"Udall  Tom",1567,29924
"Underwood  Robert A.",1175,NA5
"Upton  Fred",1177,15446
"Velazquez  Nydia M.",1184,29378
"Vento  Bruce F.",1185,14458
"Visclosky  Peter J.",1188,15124
"Vitter  David",1609,29918
"Walden  Greg",1596,29932
"Walsh  James T.",1197,15630
"Wamp  Zach",1199,29567
"Waters  Maxine",1205,29106
"Watkins  Wes",1206,29749
"Watt  Melvin L.",1207,29383
"Watts  J. C.  Jr.",1208,29556
"Waxman  Henry A.",1209,14280
"Weiner  Anthony D.",1597,29926
"Weldon  Curt",1214,15447
"Weldon  Dave",1215,29509
"Weller  Jerry",1216,29516
"Wexler  Robert",1537,29715
"Weygand  Robert A.",1538,29753
"Whitfield  Ed",1222,29525
"Wicker  Roger F.",1226,29534
"Wilson  Heather",1539,29779
"Wise  Robert E.  Jr.",1237,15077
"Wolf  Frank R.",1238,14869
"Woolsey  Lynn C.",1242,29309
"Wu  David",1598,29931
"Wynn  Albert Russell",1251,29355
"Young  C.W. Bill",1255,13047
"Young  Don",1256,14066
